Ägg	Q17147
Aioli	Q283231
Aji amarillo	Q132263
Aji limó	Q311071
Ají panca	Q16860983
Amerikansk hummer	Q37668
Anticuchos	Q2735024
Äpple	Q89
Aprikos	Q3733836
Arroz con mariscos	Q5706318
Ärtor	Q25237
Avokado	Q37153
Baba ganoush	Q1072192
Baguette	Q208172
Bánh mì	Q615392
Basmatiris	Q1649635
BBQ	Q461696
BBQ sås	Q807791
Bearnaisesås	Q58265
Biff	Q213062
Blackened	Q4922798
Bläckfisk	Q17118835
Böngroddar	Q2459072
Bouillabaisse	Q828043
Brässerad	Q784148
Bröd	Q7802
Buljong	Q275068
Bún nem	Q11839576
Bún thịt nướng	Q5005249
Burgare	Q6663
Caesarsallad	Q275508
Calamares	Q13362654
Carciofi	Q134609
Caviar	Q186385
Chả lụa	Q564570
Champinjoner	Q390456
Cha Nem	Q7382955
Chevré-creme	Q198815
Chicken tikkas	Q2548408
Chili dog	Q5098941
Chili	Q165199
Chipotle	Q860808
Choklad	Q195
Chokladsås	Q599901
Churrasco	Q1089959
Churros	Q727605
Chutney	Q275650
Chutneys	Q275650
Cider	Q167296
Citrongräs	Q33913
Citron	Q500
Clam chowder	Q1094882
Coleslaw	Q945475
Confiterad	Q2992510
Crabsticks	Q1188911
Cream cheese	Q426337
Creme fraiche	Q1142459
Curry	Q164606
Dashi	Q851746
Dill	Q26686
Dragon	Q155814
Dressing	Q1572278
Dulce de leche	Q917761
Egenpanerad	Q1571226
EKO	Q7150
Falafel	Q188788
Färska grönsaker	Q11004
Färskfriterad	Q854618
Färskost	Q3323634
Färskpotatis	Q10998
Färs	Q13400960
Filé	Q289005
Fish n chips	Q203925
Fisk	Q152
Fisksås	Q545985
Fläskfile	Q191768
Fläskkarré	Q1420447
Fläskkorv	Q10497217
Fläskkött	Q191768
Fläsklägg	Q153976
Fläsksida	Q191768
Fläskssida	Q191768
Frankrike	Q142
Friterade	Q854618
Friterad	Q854618
Gelatin	Q179254
Glasnudlar	Q840448
Glass	Q13233
Glasstrut	Q1156634
Glaze	Q15223654
Glutenfritt	Q2632776
Gödkalv	Q957434
Grädde	Q13228
Gräddsås	Q10509700
Grillad	Q264619
Grishuvud	Q2255787
Gris	Q787
Grönkål	Q45989
Grönsaker	Q11004
Gubbröra	Q10510197
Gul lök	Q23485
Gurka	Q23425
Hallon	Q13179
Halloumi	Q549793
Halv	Q2114394
Harissa	Q966327
Hårt bröd	Q251981
Himalayan	Q5451
Hjärta	Q1072
Hjärtsallad	Q1762893
Högrev	Q1365996
Hoisindressing	Q404114
Honung	Q10987
Hot sauce	Q522171
Huacatay	Q599870
Hummus	Q241987
Indian	Q668
Ingefära	Q35625
Inlagd strömming	Q10535659
Jasmin	Q82014
Jordgubbar	Q13158
Jordgubbe	Q13158
Jordnötter	Q37383
Jumbomajs	Q11575
Kaffe	Q8486
Kalvkött	Q957434
Kanel	Q28165
Kardemumma	Q33466
Kathi roll	Q6377352
Kavring	Q20033470
Kebab	Q179010
Knäckebröd	Q251981
Kokosnöt	Q13187
Kokos	Q13187
Kokt	Q41716
Komage	Q470873
Koriander-dip	Q41611
Koriander	Q41611
Körsbär	Q196
Kött	Q10990
Köttbullar	Q1501015
Kristalliserad	Q895901
Kronärtskockskräm	Q134609
Krydda	Q42527
Kryddor	Q42527
Kycklingfilé	Q864693
Kyckling	Q864693
Lakrits	Q138811
Lamm	Q643419
Långkokt	Q10572617
Lassi	Q827654
Lättmjölk	Q10572454
Lax	Q188879
Limeblad	Q465934
Lime	Q13195
Lingon	Q93235
Litchi	Q13182
Lök	Q23485
Lucuma	Q1650695
Maizena	Q10575468
Majonnäs	Q167893
Majsnachos	Q466430
Mandel	Q39918
Mango	Q3919027
Manjar	Q917761
Maräng	Q276276
Marinad	Q725668
Marinerad	Q725668
Marockanska	Q1028
Mascarpone	Q209889
Mirin	Q1045910
Miso	Q235169
Mjölk	Q8495
Mjöl	Q36465
Mojo rojo	Q2227032
Mörk choklad	Q277628
Mos	Q322787
Mozzarella	Q14088
MSC-märkt	Q19862473
Mynta	Q47859
Nachos	Q466430
Nässlor	Q155909
Nem rán	Q7382955
Nobisdressing	Q19862495
Nori	Q201565
Nötkött	Q192628
Nudlar	Q192874
Nyfriterade	Q854618
Ocopa	Q2778993
Olivolja	Q93165
Olja	Q427457
Örtcrème	Q207123
Örter	Q207123
Ostburgare	Q667478
Ost	Q10943
Ostron	Q21154
Ostron Gillardeau	Q5561980
Oxfilé	Q1639520
Paneer-ost	Q1139546
Pannacotta	Q504941
Papa a la Huancaina	Q432308
Papas fritas	Q152088
Parmesan	Q155922
Päron	Q13099586
Passionsfrukt	Q156790
Pasta	Q178
Paté	Q816704
Pepparrot	Q26545
Pesto	Q9896
Picklad	Q1503967
Pickles	Q1503967
Pinchos	Q1452513
Pisco	Q388502
Pistage	Q36071
Pitabröd	Q211340
Pommes	Q152088
Porchetta	Q1106345
Potatismos	Q322787
Potatis	Q10998
Potatissallad	Q152964
Prästostcréme	Q3311757
Pressgurka	Q19862464
Pulled pork	Q1347028
Pulpo	Q17118835
Puré	Q636056
Quesadilla	Q865325
Rabarberpaj	Q5256427
Rabarber	Q7535
Raita	Q1483397
Räkcocktail	Q3776982
Räkor	Q80117
Råkost	Q513532
Ramen	Q234646
Ramslök	Q130882
Rårörda lingon	Q10658749
Rättika	Q7224757
Rawfood	Q513532
Remoulad	Q1190414
Remouladsås	Q1190414
Rimmad	Q1503716
Ris	Q5090
Rischips	Q7323073
Risnudlar	Q1322949
Rocoto	Q133428
Rödbeta	Q165437
Rödlök	Q622350
Rökta	Q193713
Rökt	Q193713
Rostade	Q4865573
Rostad	Q4865573
Rotfrukter	Q20136
Rotisseriegrillad	Q22847
Ruccola	Q156884
Sallad	Q9266
Salsa criolla	Q5204114
Salsa	Q249114
Samosa	Q491517
Sandwich	Q28803
Sås	Q178359
Sejrygg	Q5125285
Senap	Q131748
Sesam	Q2763698
Sesamfrö	Q2763698
Shawarma	Q3412448
Skagenröra	Q10669607
Skaldjur	Q6501235
Skaldjursplateau	Q10669634
Skinka	Q170486
Smoothie	Q13290
Smör	Q34172
Socker	Q11002
Softbun	Q13377687
Soja	Q229385
Sojasås	Q229385
Solroskärnor	Q1076906
Sommarsallad	Q9266
Soppa	Q41415
Söta	Q460453
Sötpotatis	Q37937
Sötpotatispaj	Q3246340
Soya	Q229385
Spädgris	Q787
Sparris	Q28367
Spenat	Q81464
Strömming	Q2396858
Stuvning	Q2920963
Surdegsbröd	Q904889
Surkål	Q154166
Sverige	Q34
Sylt	Q8752059
Syrad	Q1503967
Taco	Q191655
Tahini	Q383389
Tattinger	Q204901
Terrine	Q11175039
Thaibasilika	Q3073413
Timjan	Q131224
Toast Skagen	Q10699143
Tofu	Q177378
Tomater	Q23501
Tomat	Q23501
Tomatsås	Q3596097
Tonfisk	Q214415
Torsk	Q199788
Tortilla	Q204251
Trädgårdssallad	Q9266
Tryffel	Q2690965
Valnöt	Q46871
Vaniljcrème	Q625825
Vanilj	Q13241
Vårlök	Q120042
Varmrökt	Q193713
Vårrullar	Q715525
Vårrulle	Q715525
Västerhavet	Q10717939
Vegetarisk	Q638022
Vete	Q161098
Vietnamesisk	Q881
Vilt	Q223930
Vit choklad	Q742385
Vitlök	Q23400
Vitlöksbröd	Q1359006
Vitlökscréme	Q23400
Wokade	Q8980672
Wokad	Q8980672
Wonton	Q553905
Yuzu	Q867776
